*g		ɤ
*n		ɲ
..a		ä
..af	ɑ̈
..ai	ɛ̈
..b		b̈
..c		c̈
..d		d̈
..e		ë
..eu	ə̈
..f		f̈
..g		g̈
..h		ḧ
..i		ï
..j		j̈
..k		k̈
..l		l̈
..m		m̈
..n		n̈
..o		ö
..o*	ɔ̈
..p		p̈
..q		q̈
..r		r̈
..s		s̈
..t		ẗ
..u		ü
..uu	ʉ̈
..v		v̈
..w		ẅ
..x		ẍ
..y		ÿ
..z		z̈
.?		ʔ
.n		ṅ
.a		ȧ
.af		ɑ̇
.ai		ε̇
.b		ḃ
.c		ċ
.d		ḋ
.e		ė
.eu		ə̇
.f		ḟ
.g		ġ
.h		ḣ
.i		i̇
.j		j̇
.k		k̇
.l		l̇
.m		ṁ
.o		ȯ
.o*		ɔ̇
.p		ṗ
.q		q̇
.r		ṙ
.s		ṡ
.t		ṫ
.u		u̇
.uu		ʉ̇
.v		v̇
.w		ẇ
.x		ẋ
.y		ẏ
.z		ż
1a_		à̠
1aa		àà
1af_	ɑ̠̀
1aff	ɑ̀ɑ̀
1ai_	ὲ̠
1c		c̀
1e_		è̠
1ee		èè
1eu_	ə̠̀
1h		h̀
1i-		ɨ̀
1i_		ì̠
1ia		ìà
1iaf	ìɑ̀
1ie		ìè
1ii		ìì
1m		m̀
1n		ǹ
1o*_	ɔ̠̀
1o_		ò̠
1oo		òò
1s		s̀
1u_		ù̠
1ua		ùà
1uaf	ùɑ̀
1uu_	ʉ̠̀
1uuaf	ʉ̀ɑ̀
2a_		á̠
2aa		áá
2af_	ɑ̠́
2aff	ɑ́ɑ́
2ai_	έ̠
2ee		éé
2ia		íá
2iaf	íɑ́
2ie		íé
2ii		íí
2oo		óó
2ua		úá
2uaf	úɑ́
2uuaf	ʉ́ɑ́
3aa		āā
3e_		ē̠
3ee		ēē
3ia		īā
3iaf	īɑ̄
3ie		īē
3ii		īī
3oo		ōō
3ua		ūā
3uaf	ūɑ̄
3uuaf	ʉ̄ɑ̄
5a		â
5af		ɑ̂
5ai		ɛ̂
5e		ê
5eu		ə̂
5i		î
5o		ô
5oo		ôô
5u		û
5uu		ʉ̂
7a		ǎ
7af		ɑ̌
7ai		ɛ̌
7e		ě
7eu		ə̌
7i		ǐ
7o		ǒ
7oo		ǒǒ
7u		ǔ
7uu		ʉ̌
?.		ʔ
a..		a̤
a1		à
a1..	à̤
a2		á
a3		ā
a31		ā̀
a34		ā̍
a35		ā̂
a37		ā̌
a4		a̍
a4..	a̤̍
a5		â
a5..	â̤
a7		ǎ
a7..	ǎ̤
a9		a̯
a91		à̯
a94		a̯̍
a95		â̯
a97		ǎ̯
b*		ɓ
c_		ç
c_ced	ç
d*		ɗ
e1		è
e2		é
e3		ē
e31		ḕ
e34		ē̍
e35		ē̂
e37		ē̌
e4		e̍
e5		ê
e7		ě
i1		ì
i2		í
i3		ī
i5		î
i7		ǐ
